;neurons number1;neurons number2;learning rate;epoch;mean acc.(train);mean acc.(test)
160;1;3;0.005;2000;55.82329437505709;55.381884711732546
161;1;3;0.005;2000;55.81247813138153;55.37337877796235
162;1;3;0.005;2000;55.80466460908291;55.368001862947715
163;1;3;0.005;2000;55.943376792406;55.506063093779595
164;1;3;0.005;2000;56.70495419666686;56.30440572330391
165;1;3;0.005;2000;56.653827313017246;56.25294222823682
166;1;3;0.005;2000;56.61481938802701;56.21701109532779
167;1;3;0.005;2000;56.56765837567733;56.1713651962143
168;1;3;0.005;2000;56.53009233731945;56.130199912874104
169;1;3;0.005;2000;57.15634212252004;56.801667103115015
170;1;3;0.005;5000;58.01725865008149;57.698652219133656
171;1;3;0.005;5000;58.60243791158564;58.32472683796403
172;1;3;0.005;5000;59.22650254142887;58.99120479867152
173;1;3;0.005;5000;59.84528925142058;59.6350660888333
174;1;3;0.005;5000;59.67918644398638;59.4609041532706
175;1;3;0.005;5000;60.14064081282894;59.96044616152579
176;1;3;0.005;5000;60.70990604385221;60.550607141664884
177;1;3;0.005;5000;61.23588519549533;61.10497392857203
178;1;3;0.005;5000;61.71400805636927;61.611907391205484
179;1;3;0.005;5000;62.12955967367255;62.05310652555193
180;1;3;0.05;1000;77.30030448743966;77.560556517017
181;1;3;0.05;1000;78.56367724626686;78.81465414580745
182;1;3;0.05;1000;78.03558279852768;78.30771910657894
183;1;3;0.05;1000;77.85506823046339;78.14370199373532
184;1;3;0.05;1000;78.05782221912659;78.2808987388573
185;1;3;0.05;1000;78.50063154355979;78.72726211246459
186;1;3;0.05;1000;78.74731769211634;78.9666254489164
187;1;3;0.05;1000;78.80778740784272;78.995757333693
188;1;3;0.05;1000;79.01110617753923;79.17648516473801
189;1;3;0.05;1000;78.83984498099095;78.99340865169847
190;1;3;0.05;2000;79.78372769580693;79.91213232240464
191;1;3;0.05;2000;80.30249028179131;80.41389964107135
192;1;3;0.05;2000;80.96440364081543;81.05931297638796
193;1;3;0.05;2000;81.46073127006525;81.54206819966679
194;1;3;0.05;2000;81.8306873416371;81.90613301616737
195;1;3;0.05;2000;82.26183422292966;82.32741105560984
196;1;3;0.05;2000;82.6341439847589;82.69159465861297
197;1;3;0.05;2000;82.99287664531388;83.0439753890982
198;1;3;0.05;2000;83.13289406204856;83.17697782532973
199;1;3;0.05;2000;83.3718772164627;83.40989914994512
200;1;3;0.05;5000;83.85781751379072;83.88233315584105
201;1;3;0.05;5000;84.24741354289452;84.26412869939799
202;1;3;0.05;5000;84.64931197720601;84.66711467722531
203;1;3;0.05;5000;85.02679352189803;85.04635592315549
204;1;3;0.05;5000;85.37516137803594;85.39619473665283
205;1;3;0.05;5000;85.67413490665105;85.68577226246627
206;1;3;0.05;5000;85.96898868238983;85.98189232484462
207;1;3;0.05;5000;86.22127483254982;86.2282858030673
208;1;3;0.05;5000;86.44113170927247;86.44022618956839
209;1;3;0.05;5000;86.67515243961353;86.66635560801534
210;1;3;0.5;1000;76.66176811348848;78.5288497290004
211;1;3;0.5;1000;76.64691196185403;78.49316250629562
212;1;3;0.5;1000;77.55935886920004;80.56692684592373
213;1;3;0.5;1000;77.45710229013287;80.188230306109
214;1;3;0.5;1000;77.18477325837478;79.73429975201148
215;1;3;0.5;1000;77.04006184106483;79.46264213985053
216;1;3;0.5;1000;77.10033202564334;79.71502625331769
217;1;3;0.5;1000;77.05319306466457;79.57872406530225
218;1;3;0.5;1000;76.9541918425591;79.38784044487448
219;1;3;0.5;1000;76.91632156947438;79.29307345917732
220;1;3;0.5;2000;76.88403944739932;79.20844029682546
221;1;3;0.5;2000;77.87103821967602;79.98228159428798
222;1;3;0.5;2000;77.79151174878645;79.88875222272054
223;1;3;0.5;2000;77.71238893812054;79.79362639780138
224;1;3;0.5;2000;77.64057833383124;79.70529807974522
225;1;3;0.5;2000;77.7761296158512;80.08141802858034
226;1;3;0.5;2000;78.4989985249867;80.57105127376519
227;1;3;0.5;2000;78.87325925075378;81.03344522117817
228;1;3;0.5;2000;78.76292301146934;80.91026328675653
229;1;3;0.5;2000;78.65964622424289;80.7924354051767
230;1;3;0.5;5000;79.41118710783513;81.46531299254944
231;1;3;0.5;5000;79.85489978781628;81.64253683442566
232;1;3;0.5;5000;80.49912025431355;82.16964862496302
233;1;3;0.5;5000;80.80103254614572;82.1876671745319
234;1;3;0.5;5000;80.93033866006985;82.35274743704831
235;1;3;0.5;5000;80.78854804304237;82.44089319576621
236;1;3;0.5;5000;81.30071215962208;82.85893726277827
237;1;3;0.5;5000;81.76960905340863;83.2906184284648
238;1;3;0.5;5000;82.20657606030981;83.69284532193126
239;1;3;0.5;5000;82.62181035090076;84.02863358704478
240;1;5;0.0001;1000;53.23877566621512;54.03006884776189
